Gender,Category,Sub category,Service Name,Service Name in Marathi,Duration in minuts,Amount,Reminder In Days,Short Description,Long Description
1,Hair,Haircut,Haircut,?????,40,120,,,
1,Hai,Haircut,Basic,?????,35,120,,,
1,Hair,Haircut,Creative,??????????,40,150,,,
1,Hair,Haircut,Senior stylist,?????? ??????????,40,120,,,
1,Hai,Haircut,Master Stylist,?????? ??????????,30,150,,,
1,Hair,Haircut,Kids ,???? ????,20,100,,,
1,Hair,Hair wash ,With Blast Dry,???? ?????,25,120,,,
1,Hai,Hair wash,With Blow Dry,???? ???????,35,120,,,
1,Hair,Hair colour,Root Touch Up,??? ?? ??,20,150,,,
1,Hair,Hair colour,Root Touch Up,??? ?? ??,20,120,,,
1,Hair,Hair colour,Global,??????? ???,35,150,,,
1,Hai,Hair colour,Global,??????? ???,35,100,,,
1,Hair,Hair colour,Highlight,???????,60,120,,,
1,Hair,Hair colour,Highlight,???????,60,120,,,
1,Hai,Hair colour,Global ,??????? ???,35,150,,,
1,Hair,Hair colour,Global,??????? ???,35,120,,,
1,Hair,Hair Spa,Basic Hydration ,????? ?????????,45,150,,,
1,Hai,Hair Spa,Hair Fall,??? ????,45,100,,,
1,Hair,Hair Spa,Dandruff,?????,45,120,,,
1,Hair,Hair Spa,Keratin,???????,45,120,,,
1,Hair,Hair Spa,Head Massage ,????????  ?????,20,150,,,
1,Hai,Plex Treatment ,Fiber Plex,????? ???????,240,120,,,
1,Hair,Plex Treatment,Ola Plex,??? ???????,240,150,,,
1,Hair,Plex Treatment,Wella Plex,?????? ???????,240,100,,,
1,Hair,Plex Treatment,K18,??-????,240,120,,,
1,Hai,Protein Treatment ,Keratin,???????,240,120,,,
1,Hair,Protein Treatment,Blutox ,???????????,240,150,,,
1,Hair,Protein Treatment,Botox,???????,240,120,,,
1,Hai,Protein Treatment,Nanoplastia,??????????????,240,150,,,
1,Hair,Texture Treatment,Smoothning,??? ????,240,100,,,
1,Hair,Texture Treatment,Straightening,??? ????,240,120,,,
1,Hai,Texture Treatment,Rebonding,??? ????,240,120,,,
1,Hair,Texture Treatment,Perming,????? ????,240,150,,,
1,Hair,Blow dry,With wash ,??? ????????,35,120,,,
1,Hair,Blow dry,Without wash,??? ? ????,25,150,,,
1,Skin,Threading,Eyebrow,?????,15,100,,,
1,Skin,Threading,Upper Lips,???????? ???? ???,10,120,,,
1,Skin,Threading,Forehead,????,10,120,,,
1,Skin,Threading,Chin,??????,10,150,,,
1,Skin,Threading,Jawline,????,10,120,,,
1,Skin,Threading,Chiks,???,10,150,,,
1,Skin,waxing ,Upper Lips,???????? ???? ???,10,100,,,
1,Skin,waxing,Forehead,????,10,120,,,
1,Skin,waxing,Chin,??????,10,120,,,
1,Skin,waxing,Jawline,????,10,150,,,
